Date 	 Name 	 Face_left 	 Face_right 	 ID 	 Gender 	 Run 	 Trial 	 01combination 	 02face_meaning_1st 	 03face_meaning_2nd 	 04intention_1st 	 05outcome_1st 	 06intention_2nd 	 07outcome_2nd 	 08switch_face_postiion 	 09FaceID_1st 	 10FaceID_2nd 	 11Switch_choice_target 	 12Outcome_1st 	 13Intention_1st 	 14Outcome_2nd 	 15Intention_2nd 	 RT1_face 	 Choice 	 Choice_face 	 Intention_choice 	 Outcome_choice 	 RT2_rating 	 Rate_dur 	 Reward 	 Count 	 Rons_dec 	 Rons_display 	 Rons_choice 	 Rons_jitter1 	 Rons_feed 	 Rons_rate 	 Rons_jitter2 	 Gameon 	 Jitter1 	 Jitter2 	 
12-May-2022	QPY	  2	  3	101	  1	  1	  1	  4	  2	  3	  1	  0	  0	  1	  0	  3	  1	  1	  2	  1	  2	  1	 3.089	  2	  3	  1	  2	 4.742	 0.000	  8	  4	 0.026	 3.126	 4.076	 4.576	 7.143	 8.643	14.626	19935.063	 2.568	 1.955	
12-May-2022	QPY	  1	  3	101	  1	  1	  2	  2	  1	  3	  1	  1	  0	  1	  0	  2	  1	  0	  1	  1	  1	  2	 2.434	  3	  1	  2	  1	 1.483	 4.713	  1	  3	14.643	17.092	17.109	17.126	17.176	18.676	23.393	19935.063	 2.642	 2.817	
12-May-2022	QPY	  4	  2	101	  1	  1	  3	  5	  2	  4	  1	  0	  0	  0	  1	  3	  4	  0	  1	  2	  2	  2	 1.101	  2	  3	  2	  1	 2.170	 3.146	  1	  3	26.209	27.326	28.309	28.809	30.342	31.842	34.992	19935.063	 1.538	 1.608	
12-May-2022	QPY	  1	  2	101	  1	  1	  4	  1	  1	  2	  1	  1	  1	  0	  0	  2	  3	  1	  1	  1	  2	  1	 1.101	  2	  3	  1	  2	 1.936	 5.322	  1	  5	36.592	37.709	38.692	39.192	41.542	43.042	48.376	19935.063	 2.340	 2.478	
12-May-2022	QPY	  1	  4	101	  1	  1	  5	  3	  1	  4	  1	  1	  0	  0	  0	  2	  4	  1	  1	  1	  2	  2	 1.250	  1	  2	  1	  1	 1.603	 2.897	  2	  5	50.842	52.109	53.092	53.592	55.726	57.226	60.142	19935.063	 2.137	 1.872	
12-May-2022	QPY	  4	  3	101	  1	  1	  6	  6	  3	  4	  0	  1	  0	  0	  1	  1	  4	  0	  1	  2	  2	  2	 1.395	  3	  1	  2	  1	 0.399	 1.567	 -1	  4	61.992	63.392	64.392	64.892	67.076	68.576	70.159	19935.063	 2.191	 2.098	
12-May-2022	QPY	  1	  3	101	  1	  1	  7	  2	  1	  3	  1	  1	  0	  1	  0	  2	  1	  0	  1	  1	  1	  2	 1.220	  3	  1	  2	  1	 0.440	 1.492	 -1	  4	72.242	73.476	74.459	74.959	77.792	79.292	80.792	19935.063	 2.836	 1.815	
12-May-2022	QPY	  2	  4	101	  1	  1	  8	  5	  2	  4	  1	  0	  0	  0	  0	  3	  4	  1	  2	  1	  1	  1	 1.964	  2	  3	  1	  2	 0.913	 1.863	  0	  4	82.609	84.576	85.576	86.076	88.076	89.576	91.459	19935.063	 2.000	 2.495	
12-May-2022	QPY	  3	  4	101	  1	  1	  9	  6	  3	  4	  0	  1	  0	  0	  0	  1	  4	  1	  2	  1	  2	  2	 1.083	  3	  1	  1	  2	 1.605	 2.203	  0	  2	93.926	95.025	96.009	96.509	98.275	99.775	101.992	19935.063	 1.758	 2.829	
12-May-2022	QPY	  3	  2	101	  1	  1	 10	  4	  2	  3	  1	  0	  0	  1	  1	  3	  1	  0	  2	  1	  1	  2	 1.374	  2	  3	  1	  2	 0.871	 1.485	  0	  3	104.809	106.192	107.175	107.675	109.725	111.225	112.725	19935.063	 2.041	 2.090	
12-May-2022	QPY	  4	  1	101	  1	  1	 11	  3	  1	  4	  1	  1	  0	  0	  1	  2	  4	  1	  1	  1	  2	  2	 1.271	  4	  4	  2	  2	 0.670	 2.302	 -3	  7	114.792	116.075	117.059	117.559	119.659	121.159	123.475	19935.063	 2.096	 2.466	
12-May-2022	QPY	  1	  2	101	  1	  1	 12	  1	  1	  2	  1	  1	  1	  0	  0	  2	  3	  0	  1	  1	  2	  1	 1.151	  1	  2	  1	  1	 0.739	 2.215	  3	  7	125.925	127.092	128.075	128.575	131.575	133.075	135.309	19935.063	 2.999	 2.767	
12-May-2022	QPY	  3	  2	101	  1	  1	 13	  4	  2	  3	  1	  0	  0	  1	  1	  3	  1	  1	  2	  1	  1	  2	 1.286	  3	  1	  2	  1	 0.979	 1.507	  0	  3	138.058	139.359	140.342	140.842	142.492	143.992	145.509	19935.063	 1.646	 1.657	
12-May-2022	QPY	  1	  4	101	  1	  1	 14	  3	  1	  4	  1	  1	  0	  0	  0	  2	  4	  1	  1	  1	  1	  1	 1.830	  1	  2	  1	  1	 0.811	 1.905	  3	  4	147.159	148.992	149.992	150.492	152.725	154.225	156.142	19935.063	 2.241	 1.912	
12-May-2022	QPY	  1	  3	101	  1	  1	 15	  2	  1	  3	  1	  1	  0	  1	  0	  2	  1	  0	  1	  1	  2	  1	 0.937	  1	  2	  1	  1	 0.721	 1.778	  3	  5	158.042	158.992	159.975	160.475	163.392	164.892	166.675	19935.063	 2.903	 2.212	
12-May-2022	QPY	  2	  4	101	  1	  1	 16	  5	  2	  4	  1	  0	  0	  0	  0	  3	  4	  0	  2	  1	  2	  2	 1.230	  2	  3	  1	  2	 1.000	 1.626	  0	  4	168.875	170.108	171.108	171.608	173.658	175.158	176.792	19935.063	 2.057	 2.430	
12-May-2022	QPY	  1	  3	101	  1	  1	 17	  2	  1	  3	  1	  1	  0	  1	  0	  2	  1	  1	  2	  2	  1	  2	 0.875	  1	  2	  2	  2	 1.242	 1.774	 -1	  2	179.225	180.108	181.092	181.592	184.258	185.758	187.542	19935.063	 2.656	 2.545	
12-May-2022	QPY	  2	  4	101	  1	  1	 18	  5	  2	  4	  1	  0	  0	  0	  0	  3	  4	  1	  2	  1	  2	  2	 1.075	  2	  3	  1	  2	 1.022	 3.112	  0	  5	190.075	191.158	192.142	192.642	194.308	195.808	198.925	19935.063	 1.665	 2.453	
12-May-2022	QPY	  3	  4	101	  1	  1	 19	  6	  3	  4	  0	  1	  0	  0	  0	  1	  4	  0	  1	  2	  1	  1	 1.884	  3	  1	  2	  1	 0.980	 2.452	 -1	  4	201.375	203.275	204.258	204.758	207.608	209.108	211.575	19935.063	 2.847	 1.580	
